"","LPC (16:0)_1","LPC (16:0)_2","LPC (16:1)_1","LPC (18:0)","LPC (18:1)_1","LPC (18:1)_2","LPC (18:2)_1","LPC (18:2)_2","LPC (18:3)_1","LPC (18:3)_2","LPC (20:2)_1","LPC (20:3)_1","LPC (20:3)_2","LPC (20:4)_1","LPC (20:4)_2","LPC (20:4)_3","LPC (20:5)_1","LPC (20:5)_3","LPC (22:4)_1","LPC (22:5)_1","LPC (22:5)_2","LPC (22:6)_1","LPE (20:4)_3.51","LPE (20:4)_3.71","LPE (20:6)_3.60","LPS (18:0)","PC (32:0)","PC (32:1-16:1_16:0ev18:4_14:0)","PC (34:1-18:1_16:0)","PC (34:2-18:2_16:0)","PC (34:3-18:2_16:1ev18:3_16:0)","PC (36:0)_nurExactMass","PC (36:1-18:1_18:0)","PC (36:2-18:2_18:0ev18:1_18:1)","PC (36:3-18:2_18:1)","PC (36:4-20:4_16:0)","PC (36:5-20:5_16:0)","PC (36:6-22:6_14:0)","PC (38:5-20:4_18:1)","PC (38:5-22:5_16:0)_12.07","PC (38:6-22:6_16:0)","PC (38:7-22:6_16:1)","PC (40:6-22:6_18:0)","PC (40:7-22:6_18:1)","PC (40:8-22:6_18:2)","PC (40:9-22:6_18:3)","PE (34:1-18:1_16:0)","PE (34:2-18:2_16:0)","PE (36:1-18:1_18:0)","PE (36:2-18:1_18:1)","PE (36:2-18:2_18:0)","PE (36:3-18:2_18:1)","PE (36:4-20:4_16:0)","PE (38:4-20:4_18:0)","PE (38:5-20:4_18:1ev20:5_18:0)","PE (38:5-22:5_16:0)","PE (38:6-20:5_18:1ev20:4_18:2)","PE (40:5-22:5_18:0)","PE (40:6-22:5_18:1)","PI (36:2-18:2_18:0)","PI (38:4-18:0_20:4)","PI (38:5-18:0_20:5)","P-PC (34:0)","P-PE (34:1-P16:0_18:1)","P-PE (34:2-P16:0_18:2)","P-PE (34:3-P16:0_18:3)","P-PE (36:0)_nurExactmass","P-PE (36:1-P18:0_18:1)","P-PE (36:2-P18:0_18:2)","P-PE (36:2-P18:1_18:1)","P-PE (36:3-18:2_P18:1ev18:3_18:0)","P-PE (36:4-P16:0_20:4)_12.94","P-PE (36:4-P16:0_20:4ev18:3_P18:1ev18:2_P18:2)_12.52","P-PE (36:4-P18:1_18:3)_12.41","P-PE (36:5-P16:0_20:5)","P-PE (38:4-P18:0_20:4)","P-PE (38:4-P18:0_20:4evP18:1_20:3)","P-PE (38:5-P16:0_22:5)","P-PE (38:5-P18:0_20:5)","P-PE (38:6-P18:0_20:6)","P-PE (38:6-P18:1_20:5)","P-PE (40:5-P18:0_22:5)","P-PE (40:6-P18:0_22:6)","P-PE (40:6-P18:1_22:5)"
"LPC (16:0)_1",1,1.27990151065692,1.26031442247264,1.0530822271534,1.02872403758777,1.12648448776261,0.988134180199179,1.0859856272576,1.10941826831603,1.20378751433816,1.33746631090477,1.22349989984607,1.38661440760225,1.4956332472219,1.08123587349205,1.20189256075545,1.21222077905852,1.10122115841873,1.39768655968283,1.19728020098409,1.33826466953944,1.31885313754012,1.15784936554928,1.2867767334841,1.15781997115303,1.37586278389331,1.11159382983796,1.07938199266457,0.945342124808729,0.939116596142823,1.01473345085281,1.29423206734901,1.00790020596347,0.971968013275493,0.999621841743548,1.01545294668412,1.10971598344792,1.88966195803486,1.18019472152012,1.114111780543,1.19210286469852,1.39939431429707,1.26928101412177,1.33950304600321,1.2659847359748,1.59925501416023,1.28455768530497,1.27712149803866,1.18206481748779,1.03024395102538,1.03025665907844,1.15211515861901,1.29902190463798,0.992773235965676,1.11196978703288,1.51630417087932,1.30639566438167,1.14602097321672,1.64222543797638,1.32247105634308,1.19705975956105,1.29364376570162,1.11514391584018,1.22134869036549,1.13765464548175,1.28560300852818,1.57967316928894,1.27524552243602,1.14781207352795,1.18531789332893,1.19197376920047,1.06092596720425,1.5105207851432,1.50907374392852,1.14738030120145,1.36409406076557,1.05697719704882,1.08622654739392,1.10841279249896,1.21545840062093,1.31716867992941,1.12383167432365,1.20808460207455,1.27743453746959
"LPC (16:0)_2",0.781310117750186,1,0.984696409824359,0.822783798897848,0.803752498940151,0.880133727777562,0.772039232684404,0.848491558307645,0.866799717852208,0.940531364573748,1.04497596085992,0.955932850816074,1.08337586607782,1.16855338849803,0.844780527633799,0.939050818166911,0.947120359625432,0.860395232953138,1.09202665052365,0.935447134810844,1.04559972653877,1.03043330018667,0.904639424134289,1.00537168115666,0.904616457995094,1.07497551369178,0.868499506081076,0.843332071786188,0.738605366848519,0.733741298313503,0.792821511970861,1.01119660893652,0.787482628601757,0.75940844290169,0.781014658878309,0.793383661343541,0.867032325696956,1.47641200694027,0.922098076839032,0.870466806442924,0.931402029587935,1.09336093648238,0.991702098601554,1.0465672825995,0.989126683134407,1.2495141234261,1.00363791636254,0.997827948013879,0.923559201739741,0.804940022687055,0.804949951617493,0.900159230242393,1.01493895727277,0.775663773891576,0.868793245241307,1.18470379029482,1.02070015036637,0.895397781528136,1.28308735031768,1.03326001675263,0.935274901696655,1.01073696290713,0.871273224193494,0.954252089083496,0.888861085020389,1.00445463797315,1.23421462990395,0.996362229294888,0.896797186323205,0.926100862808228,0.931301165969155,0.828912192360582,1.18018517250434,1.17905458456251,0.896459838235952,1.06578049123907,0.825826978285475,0.848679791647722,0.866014129423179,0.949649946109593,1.02911721641251,0.878061057797198,0.943888722699055,0.998072528888524
"LPC (16:1)_1",0.793452794135351,1.01554142984879,1,0.835571035589141,0.81624396201822,0.893812264365371,0.784037826259683,0.861678330338374,0.88027102486016,0.955148566796858,1.06121638144929,0.970789414157186,1.10021307610034,1.18671437900994,0.857909624941643,0.953645010581901,0.961839964252912,0.873767005108313,1.10899830610577,0.949985320833758,1.06184984133869,1.04644770703538,0.918698814282922,1.02099659461132,0.918675491217086,1.09168217022699,0.881997230228545,0.856438658019088,0.750084350343336,0.745144687228403,0.805143091881768,1.02691205009764,0.799721234631312,0.771210735943626,0.793152743410143,0.805713977859488,0.880507247763409,1.49935756057404,0.936428799413931,0.883995105250957,0.945877348891797,1.11035332877613,1.00711456719787,1.06283243460406,1.00449912609191,1.2689333595204,1.01923588463327,1.0133356210691,0.937912632284784,0.81744994158213,0.817460024822344,0.914148991771946,1.03071255987803,0.78771869801976,0.882295534515328,1.20311578114328,1.03656329014994,0.909313543336519,1.30302836236251,1.04931835481855,0.949810410970708,1.02644526051173,0.884814055886427,0.969082530984049,0.902675257218553,1.0200652992655,1.25339608999295,1.01184712298546,0.91073469688304,0.940493794400467,0.945774917708161,0.841794673048961,1.19852693757139,1.19737877867638,0.910392105924154,1.08234424397787,0.838661510335737,0.861869489093701,0.87947322726367,0.964408864127963,1.04511116943756,0.891707382129908,0.958558103067947,1.01358400308025
"LPC (18:0)",0.949593464038526,1.21538610913285,1.19678633821351,1,0.976869622392674,1.06970230692016,0.938325759110208,1.0312448536836,1.05349633647785,1.1431087557067,1.27004926720689,1.16182750814562,1.31671997860075,1.42024355616063,1.02673451855204,1.1413093201699,1.15111692876566,1.04571241449536,1.32723402184931,1.13692945347722,1.27080738334833,1.2523743194348,1.09948618986675,1.22191477579335,1.0994582771402,1.30651030699894,1.05556223547968,1.02497408543516,0.897690702998662,0.891778981667333,0.963584252671086,1.22899431210369,0.957095447985997,0.92297447266092,0.949234367429827,0.9642674812099,1.05377904482123,1.79441064459215,1.12070519384827,1.05795326501196,1.13201308877932,1.32885569446917,1.20530095503822,1.27198333754435,1.20217083085421,1.51864210877739,1.21980758214606,1.2127462273206,1.1224810247563,0.978312922258927,0.97832498974306,1.09404102444432,1.2335427102871,0.942730976145383,1.05591924197473,1.43987253016136,1.2405447843451,1.08825402581767,1.55944654238018,1.25580987148352,1.1367201237427,1.22843566470445,1.05893337394416,1.15978473368308,1.08030941568253,1.22080021424663,1.5000473168738,1.21096481314964,1.08995484296665,1.12557012431307,1.13189050053814,1.00744836428591,1.43438066486632,1.43300656398668,1.08954483478746,1.29533480443675,1.00369863795532,1.0314736298704,1.05254154321371,1.15419135304036,1.25077476949722,1.06718321261721,1.14718924213558,1.21304348751821
"LPC (18:1)_1",0.972077995129647,1.24416409444279,1.22512391703019,1.02367806007794,1,1.09503078240892,0.960543492807095,1.05566273128418,1.07844108602486,1.17017535349994,1.30012157005776,1.18933732968369,1.34789735335988,1.45387216840871,1.0510456001664,1.16833331082039,1.1783731445617,1.07047285587003,1.35866034875614,1.16384973738103,1.30089763691874,1.28202811381044,1.12551988992528,1.2508473472647,1.12549131627951,1.3374459365405,1.08055590150737,1.04924348340842,0.91894627739567,0.912894577971494,0.986400058495987,1.25809451326113,0.97975761150373,0.944828717674988,0.971710395809873,0.987099464561189,1.07873048835338,1.83689880763929,1.14724131875787,1.08300354598056,1.15881696270445,1.36032041943772,1.23384014346361,1.30210143542886,1.23063590401112,1.55460060786591,1.24869025935964,1.24146170535039,1.14905919789683,1.0014774744072,1.00148982762594,1.11994579354884,1.26275060868998,0.965053016835886,1.08092136122366,1.47396591843509,1.26991847827819,1.11402177002103,1.59637121129899,1.28554501306697,1.16363545112448,1.2575226381752,1.08400686199095,1.18724618628471,1.10588904692983,1.24970639506272,1.53556552736249,1.23963811074767,1.11576285922065,1.15222144133848,1.15869147181152,1.03130278718089,1.46834401642366,1.46693737950083,1.11534314284316,1.32600581975725,1.02746427460497,1.05589692444728,1.07746368510845,1.18152036523908,1.28039068963335,1.09245204083973,1.17435245793163,1.24176600409281
"LPC (18:1)_2",0.887717505978419,1.13619097693837,1.11880317586605,0.934839528278812,0.913216336987469,1,0.877184010018445,0.964048452557526,0.984850018236407,1.06862324995623,1.18729225784654,1.0861222796562,1.23092188367042,1.32769981608223,0.95983201299076,1.06694106648784,1.07610960668104,0.977573300282145,1.2407508269012,1.06284659397493,1.18800097478258,1.17076901800893,1.02784315108411,1.14229423259956,1.02781705716398,1.22137747908629,0.986781302284753,0.958186290526212,0.839196753331545,0.83367024255085,0.90079664822393,1.14891246298436,0.894730657113028,0.86283302063572,0.887381808274136,0.901435357268861,0.985114305170774,1.677486000529,1.04767951475674,0.989016531204811,1.0582505819199,1.24226683056817,1.12676297624193,1.18910030324847,1.12383681242629,1.4196866725938,1.14032434468434,1.1337231110703,1.0493396316851,0.914565590753602,0.914576871914776,1.0227527952092,1.15316448539656,0.881302181033575,0.987115046068181,1.34604975687766,1.15971030100591,1.01734288014291,1.45783227005471,1.17398070786553,1.06265090426466,1.14839021731318,0.989932775776652,1.08421261334126,1.00991594455182,1.14125229640899,1.4023035261022,1.13205777468705,1.01893287124415,1.05222744405755,1.05813598158634,0.941802553634298,1.34091574411588,1.33963118029775,1.01854957939132,1.21093017754278,0.938297161240238,0.964262321580081,0.983957439751756,1.07898370001973,1.16927369549982,0.99764505107014,1.07243784996455,1.1340010016532
"LPC (18:2)_1",1.0120083082223,1.29527096249108,1.2754486665147,1.06572796312048,1.04107727290682,1.1400116606993,1,1.0990264773947,1.12274050482942,1.21824296584448,1.35352701860306,1.23819206375337,1.40326530079422,1.51359327224206,1.09421968712195,1.21632525707509,1.22677749980693,1.11444496150994,1.41447041068967,1.21165751066596,1.35433496417428,1.33469033251565,1.17175317760579,1.30222874511306,1.17172343023257,1.39238456827389,1.12494219116466,1.09234354432209,0.956694084418956,0.950393797685983,1.02691868289413,1.30977360492492,1.020003382294,0.983639704761122,1.01162560892495,1.02764681865314,1.12304179501637,1.9123536012629,1.19436686349846,1.12749037819786,1.20641800333051,1.41619867254768,1.28452293176006,1.35558821144433,1.28118707088911,1.61845936129632,1.29998304991944,1.29245756662443,1.19625941615492,1.04261543793345,1.04262829858874,1.16595011255129,1.31462096005639,1.004694762978,1.12532266296945,1.53451241872199,1.32208326617984,1.15978274629232,1.6619457872061,1.33835169640272,1.21143442211437,1.30917823877002,1.12853490769381,1.2360150218863,1.15131595311522,1.3010409257061,1.59864237159626,1.29055906372854,1.16159535468815,1.19955155593343,1.20628735761393,1.07366589321948,1.52865958430739,1.5271951665758,1.16115839750648,1.38047452269145,1.06966970501492,1.09927029057427,1.12172295494883,1.23005399972697,1.33298564741876,1.13732699145891,1.22259165433488,1.29277436512934
"LPC (18:2)_2",0.920822499764812,1.17856210849586,1.1605258769909,0.969701808865286,0.947272239859725,1.03729226196785,0.909896185914061,1,1.02157730311552,1.10847462813853,1.23156907175856,1.12662623623826,1.27682574501821,1.37721274543823,0.995626319864339,1.10672971224356,1.11624016803951,1.01402921988904,1.28702123177483,1.10248254758908,1.23230421835223,1.21442964293236,1.06617374713619,1.18489296836603,1.06614668011476,1.26692540799801,1.02358060911453,0.993919224686516,0.870492298499353,0.864759691630856,0.934389392809257,1.1917580075321,0.928097187168752,0.895010015675777,0.920474283133799,0.935051920759213,1.02185144590748,1.74004324790813,1.08674985367939,1.02589919477703,1.09771513984849,1.28859377064769,1.16878251632762,1.23344454326326,1.16574722924441,1.47262999990043,1.18284961887463,1.17600221032734,1.08847188012315,0.948671810350765,0.948683512211957,1.06089356037649,1.19616859747799,0.914167932841515,1.02392679895856,1.3962469970329,1.20295852135784,1.05528189734032,1.51219813297478,1.21776110396845,1.10227956016687,1.19121628613853,1.02684960818147,1.12464535414683,1.04757799452155,1.18381217601808,1.45459859655604,1.17427476978342,1.05693118280624,1.09146738555111,1.09759626580926,0.976924501186417,1.39092152532227,1.38958905721371,1.05653359713323,1.25608850294848,0.973288384780898,1.00022184468217,1.02065143836019,1.11922144281991,1.21287855646452,1.03484949166558,1.11243148320967,1.17629046407866
"LPC (18:3)_1",0.901373294959242,1.15366904188414,1.13601376366882,0.949220196952274,0.927264375364267,1.01538303445506,0.890677761867983,0.978878443119561,1,1.08506191822978,1.20555641555722,1.10283013610655,1.2498571974184,1.34812386809899,0.974597141917663,1.08335385767514,1.09266343783803,0.992611344042728,1.25983733962156,1.07919639975049,1.2062760347103,1.18877899815187,1.04365449769163,1.15986618413745,1.04362800236782,1.24016597092971,1.0019609930574,0.972926103247738,0.852106145902615,0.846494620616164,0.914653634100558,1.16658622298829,0.908494329639392,0.876106010721119,0.901032433205607,0.915302168428734,1.00026835246938,1.70329082547302,1.06379600483009,1.00423060658095,1.07452968708366,1.26137666402518,1.14409600992815,1.20739227418386,1.14112483283371,1.44152576159369,1.15786599336856,1.15116321275039,1.06548165939437,0.928634384747573,0.928645839447238,1.03848583669691,1.17090365440776,0.89485928284973,1.00229987083295,1.36675608666593,1.17755016452417,1.03299270072075,1.48025815409466,1.19204009354419,1.07899769973866,1.16605594359395,1.00516094577461,1.1008910933289,1.02545151632357,1.15880821980656,1.42387520956068,1.14947225844018,1.03460715070988,1.06841389508404,1.07441332384922,0.956290334766714,1.36154309720894,1.36023877290133,1.03421796266528,1.22955795818659,0.952731018800678,0.979095602096659,0.999093690949766,1.09558174345358,1.18726067304509,1.01299185926467,1.08893519836146,1.1514453781337
"LPC (18:3)_2",0.830711390581088,1.06322876372465,1.04695754646165,0.874807401314827,0.854572775788731,0.9357834952973,0.820854318913963,0.902140630570235,0.921606392408875,1,1.11104849898706,1.01637530317695,1.15187638273904,1.24243957459901,0.898194956014737,0.998425840474221,1.00700560906299,0.914796959847343,1.16107414559062,0.994594300674695,1.11171170459864,1.09558632385818,0.961838656538875,1.06894008963997,0.961814238279092,1.14294488645678,0.923413656146048,0.896654916094573,0.785306471074739,0.780134853499582,0.842950636027082,1.07513332040213,0.83727418166288,0.807424899908422,0.83039725021001,0.843548329409626,0.921853707760079,1.56976371288732,0.980401198270437,0.92550534647765,0.990293428449406,1.16249279680098,1.05440619627927,1.11274043803293,1.05166794047605,1.32851935670682,1.06709670104132,1.0609193755767,0.981954708292265,0.855835385194046,0.85584594191848,0.957075185525948,1.07911229279711,0.824708035380733,0.923725968070238,1.25961114633506,1.0852377590076,0.952012676295951,1.364215377229,1.098591770218,0.994411177473624,1.07464461152255,0.926362753025634,1.01458826895791,0.945062672549175,1.06796506294968,1.31225249512365,1.05936098127514,0.953500563726162,0.98465707544792,0.990186187348705,0.881323285519827,1.25480682192794,1.25360474830827,0.953141885536407,1.13316847410197,0.878042997172925,0.902340765671697,0.920771132194681,1.00969513817328,1.09418702573402,0.933579772956469,1.00356963972895,1.06117942099768
